Order ID,Order Date,Order Month,Ship Date,Shipping Days,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profir Margins
US-2023-135405,2023-01-09,Jan-23,2023-01-13,4,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,OFF-AR-10004078,Office Supplies,Art,Newell 312,9.34,2,20%,1.17,13%
US-2023-135405,2023-01-09,Jan-23,2023-01-13,4,Standard Class,MS-17830,Melanie Seite,Consumer,United States,Laredo,Texas,78041,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.20,3,20%,9.75,31%
US-2023-149020,2023-01-10,Jan-23,2023-01-15,5,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,0%,21.30,41%
US-2023-149020,2023-01-10,Jan-23,2023-01-15,5,Standard Class,AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South,OFF-LA-10004272,Office Supplies,Labels,Avery 482,2.89,1,0%,1.36,47%
US-2023-130092,2023-01-11,Jan-23,2023-01-14,3,First Class,SV-20365,Seth Vernon,Consumer,United States,Dover,Delaware,19901,East,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,0%,3.08,31%
US-2023-157147,2023-01-13,Jan-23,2023-01-18,5,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,FUR-BO-10003034,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",334.00,3,15%,3.93,1%
US-2023-109232,2023-01-13,Jan-23,2023-01-16,3,Second Class,ND-18370,Natalie DeCherney,Consumer,United States,Mount Pleasant,South Carolina,29464,South,FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,6,0%,87.35,16%
US-2023-157147,2023-01-13,Jan-23,2023-01-18,5,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford,19.90,5,0%,6.57,33%
US-2023-118192,2023-01-13,Jan-23,2023-01-18,5,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-BI-10003476,Office Supplies,Binders,Avery Metallic Poly Binders,3.44,2,70%,-2.52,-73%
US-2023-162775,2023-01-13,Jan-23,2023-01-15,2,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-BI-10004187,Office Supplies,Binders,3-ring staple pack,5.64,3,0%,2.71,48%
US-2023-162775,2023-01-13,Jan-23,2023-01-15,2,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,3,0%,25.47,50%
US-2023-162775,2023-01-13,Jan-23,2023-01-15,2,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,11.36,2,0%,5.34,47%
US-2023-118192,2023-01-13,Jan-23,2023-01-18,5,Standard Class,MM-17920,Michael Moore,Consumer,United States,Newark,Ohio,43055,East,OFF-PA-10002947,Office Supplies,Paper,Xerox 1923,37.41,7,20%,13.09,35%
US-2023-162775,2023-01-13,Jan-23,2023-01-15,2,Second Class,CS-12250,Chris Selesnick,Corporate,United States,Bossier City,Louisiana,71111,South,OFF-ST-10000025,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,0%,34.35,6%
US-2023-157147,2023-01-13,Jan-23,2023-01-18,5,Standard Class,BD-11605,Brian Dahlen,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10000078,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,0%,238.65,18%
